20201019133124,10.20.30.1/16,600
20201019133125,10.20.30.2/16,1
20201019133134,192.168.1.1/24,10
20201019133135,192.168.1.2/24,-
20201019133224,10.20.30.1/16,522
20201019133225,10.20.30.2/16,1
20201019133234,192.168.1.1/24,-
20201019133235,192.168.1.2/24,900
20201019133324,10.20.30.1/16,700
20201019133325,10.20.30.2/16,800
20201020133334,10.20.30.1/16,700
20201020133335,10.20.30.2/16,600
20201020133424,10.20.30.1/16,700
20201020133425,10.20.30.2/16,400
20201020133434,192.168.1.1/24,-
20201020133435,192.168.1.2/24,700
20201020133444,192.168.1.1/24,-
20201020133445,192.168.1.2/24,800
